Data;Municipio;Gênero do Indiciado;Idade do Indiciado;Relacionamento
02/01/2021;Paraipaba;Masculino;26;NÃO INFORMADO
02/01/2021;Paraipaba;Masculino;31;NÃO INFORMADO
02/01/2021;Paraipaba;Masculino;45;NÃO INFORMADO
02/01/2021;Paraipaba;Feminino;29;NÃO INFORMADO
03/01/2021;Independência;Masculino;30;NÃO INFORMADO
03/01/2021;Independência;Masculino;30;NÃO INFORMADO
07/01/2021;Tianguá;Masculino;47;NÃO INFORMADO
10/01/2021;Fortaleza;Masculino;59;NÃO INFORMADO
23/01/2021;Fortaleza;Masculino;26;NÃO INFORMADO
29/01/2021;Fortaleza;Masculino;55;NÃO INFORMADO
02/02/2021;Itapipoca;Masculino;55;NÃO INFORMADO
04/03/2021;Fortaleza;Feminino;29;NÃO INFORMADO
05/03/2021;Caucaia;Masculino;32;NÃO INFORMADO
11/03/2021;Jaguaribara;Masculino;48;NÃO INFORMADO
14/03/2021;Quixadá;Masculino;51;NÃO INFORMADO
15/03/2021;Sobral;Masculino;39;NÃO INFORMADO
25/03/2021;Crato;Masculino;26;NÃO INFORMADO
30/03/2021;Jaguaribe;Masculino;55;NÃO INFORMADO
01/04/2021;Fortaleza;Masculino;35;NÃO INFORMADO
01/04/2021;Fortaleza;Masculino;48;NÃO INFORMADO
04/04/2021;Fortaleza;Masculino;20;FILHO(A)
04/04/2021;Mauriti;Masculino;30;NÃO INFORMADO
04/04/2021;Mauriti;Masculino;30;NÃO INFORMADO
05/04/2021;Missão Velha;Masculino;Não Informada;NÃO INFORMADO
08/04/2021;Caucaia;Masculino;39;NÃO INFORMADO
08/04/2021;Caucaia;Masculino;39;NÃO INFORMADO
14/04/2021;Fortaleza;Masculino;36;MAE
14/04/2021;Fortaleza;Masculino;32;NÃO INFORMADO
18/04/2021;Fortaleza;Masculino;37;NÃO INFORMADO
20/04/2021;Jaguaribara;Masculino;19;NÃO INFORMADO
20/04/2021;Jaguaribara;Masculino;19;NÃO INFORMADO
20/04/2021;Jaguaribara;Masculino;19;NÃO INFORMADO
20/04/2021;Jaguaribara;Masculino;19;NÃO INFORMADO
20/04/2021;Jaguaribara;Masculino;19;NÃO INFORMADO
21/04/2021;Fortaleza;Masculino;42;NÃO INFORMADO
21/04/2021;Jaguaribe;Masculino;46;NÃO INFORMADO
21/04/2021;Jaguaribe;Masculino;46;NÃO INFORMADO
21/04/2021;Itapipoca;Masculino;41;NÃO INFORMADO
22/04/2021;Tianguá;Masculino;38;NÃO INFORMADO
22/04/2021;Fortaleza;Masculino;20;NÃO INFORMADO
27/04/2021;Paramoti;Masculino;22;NÃO INFORMADO
28/04/2021;Viçosa do Ceará;Feminino;22;NÃO INFORMADO
28/04/2021;Viçosa do Ceará;Feminino;22;NÃO INFORMADO
30/04/2021;Fortaleza;Masculino;56;NÃO INFORMADO
01/05/2021;São Benedito;Masculino;39;NÃO INFORMADO
01/05/2021;São Benedito;Masculino;24;NÃO INFORMADO
01/05/2021;São Benedito;Masculino;24;NÃO INFORMADO
01/05/2021;São Benedito;Masculino;39;NÃO INFORMADO
03/05/2021;Tianguá;Masculino;52;NÃO INFORMADO
04/05/2021;Fortaleza;Masculino;30;NÃO INFORMADO
05/05/2021;Uruoca;Masculino;38;NÃO INFORMADO
07/05/2021;Milhã;Masculino;30;NÃO INFORMADO
08/05/2021;Jaguaribe;Masculino;35;NÃO INFORMADO
09/05/2021;Crateús;Masculino;52;OUTROS
09/05/2021;Caucaia;Feminino;44;NÃO INFORMADO
09/05/2021;Assaré;Feminino;20;NÃO INFORMADO
