AIS,DATA,HORA,MUNICÍPIO,INDICIADO GÊNERO,INDICIADO IDADE,RELACIONAMENTO
AIS 22,2009-01-15,12:00:00,Tauá,Feminino,18,Não informado
AIS 14,2009-05-23,19:30:01,Sobral,Masculino,18,Não informado
AIS 15,2009-05-29,11:46:34,Caridade,Masculino,19,Não informado
AIS 19,2009-06-15,10:05:31,Farias Brito,Masculino,63,Não informado
AIS 17,2009-07-15,20:00:00,Itapipoca,Masculino,28,Não informado
AIS 14,2009-07-28,08:00:00,Groaíras,Masculino,68,Não informado
AIS 19,2009-08-06,16:00:38,Farias Brito,Masculino,58,Não informado
AIS 03,2009-08-28,13:00:16,Fortaleza,Masculino,42,Não informado
AIS 09,2009-08-28,15:14:44,Fortaleza,Masculino,40,Não informado
AIS 06,2009-08-29,12:30:00,Fortaleza,Masculino,23,Não informado
AIS 19,2009-09-02,17:00:53,Santana do Cariri,Masculino,64,Não informado
AIS 03,2009-09-06,10:30:00,Fortaleza,Masculino,68,Não informado
AIS 19,2009-09-08,08:00:10,Santana do Cariri,Masculino,45,Não informado
AIS 19,2009-09-11,11:00:53,Salitre,Masculino,61,Não informado
AIS 01,2009-09-11,13:00:00,Fortaleza,Masculino,29,Não informado
AIS 11,2009-09-12,19:00:50,Caucaia,Masculino,30,Não informado
AIS 04,2009-09-17,10:43:11,Fortaleza,Feminino,45,Não informado
AIS 07,2009-09-18,13:12:53,Fortaleza,Masculino,35,Não informado
AIS 15,2009-09-22,14:30:00,Canindé,Masculino,Não informado,Não informado
AIS 19,2009-09-23,04:00:09,Assaré,Masculino,42,Não informado
AIS 19,2009-09-23,10:09:16,Crato,Masculino,43,Não informado
AIS 08,2009-09-25,16:18:32,Fortaleza,Masculino,44,Não informado
AIS 21,2009-09-30,09:19:13,Iguatu,Masculino,62,PADRASTO
AIS 06,2009-10-02,16:01:44,Fortaleza,Masculino,31,Não informado
AIS 02,2009-10-04,09:35:35,Fortaleza,Masculino,41,Não informado
AIS 21,2009-10-10,10:30:17,Cedro,Masculino,47,Não informado
AIS 17,2009-10-10,12:00:00,Acaraú,Masculino,57,Não informado
AIS 14,2009-10-15,14:59:34,Mucambo,Masculino,23,Não informado
AIS 07,2009-10-19,14:31:11,Fortaleza,Masculino,26,Não informado
AIS 11,2009-10-20,04:30:00,Caucaia,Masculino,36,Não informado
AIS 20,2009-10-20,09:05:03,Jaguaretama,Masculino,46,Não informado
AIS 03,2009-10-21,09:20:29,Fortaleza,Masculino,43,Não informado
AIS 03,2009-10-22,14:00:53,Fortaleza,Masculino,38,Não informado
AIS 13,2009-10-22,14:23:28,Eusébio,Masculino,18,Não informado
AIS 03,2009-10-23,23:30:10,Fortaleza,Masculino,23,Não informado
AIS 14,2009-10-24,15:20:52,Sobral,Masculino,45,Não informado
AIS 08,2009-10-27,13:30:58,Fortaleza,Masculino,46,Não informado
AIS 19,2009-10-28,01:30:39,Assaré,Masculino,18,Não informado
AIS 12,2009-10-28,16:26:22,Maracanaú,Masculino,47,Não informado
AIS 13,2009-11-01,00:00:00,Cascavel,Masculino,21,Não informado
AIS 08,2009-11-04,12:39:04,Fortaleza,Masculino,24,Não informado
AIS 08,2009-11-06,10:17:17,Fortaleza,Masculino,35,Não informado
AIS 14,2009-11-06,13:00:53,Coreaú,Masculino,34,Não informado
AIS 01,2009-11-07,10:02:03,Fortaleza,Masculino,53,Não informado
AIS 11,2009-11-10,13:29:22,Caucaia,Masculino,21,Não informado
