PPG,PROGRAMA,MODALIDADE,NOTA,TIPO
1,Ciências Veterinárias,MA/DA,7,Acadêmico
2,Educação,MA/DA,6,Acadêmico
3,Biotecnologia – RENORBIO,DA,6,Acadêmico
4,Administração,MA/DA,5,Acadêmico
5,Geografia,MA/DA,5,Acadêmico
6,Cuidados Clínicos em Enfermagem e Saúde,MA/DA,5,Acadêmico
7,Linguística Aplicada,MA/DA,5,Acadêmico
8,Ciências Naturais,MA/DA,5,Acadêmico
9,Interdisciplinar em História e Letras – Quixadá,MA,4,Acadêmico
10,Filosofia,MA,4,Acadêmico
11,Ciências Fisiológicas,MA/DA,4,Acadêmico
12,Ciências da Computação,MA/DA,4,Acadêmico
13,Saúde Coletiva,MA/DA,4,Acadêmico
14,Nutrição e Saúde,MA/DA,4,Acadêmico
15,Educação e Ensino (FAFIDAM/FECLESC),MA/DA,4,Acadêmico
16,Sociologia,MA/DA,4,Acadêmico
17,Políticas Públicas,DA,4,Acadêmico
18,"Serviço Social, Trabalho e Questão Social",MA,4,Acadêmico
19,"História, Culturas e Espacialidades",MA,3,Acadêmico
20,Ciências Físicas Aplicadas,MA,3,Acadêmico
21,Saúde da Família (RENASF),MP/DP,5,Profissional
22,Ensino de Biologia (PROFBIO),MP,5,Profissional
23,Matemática (PROFMAT),MP,5,Profissional
24,Planejamento e Políticas Públicas,MP/DP,4,Profissional
25,Biotecnologia em Saúde Humana e Animal,MP/DP,4,Profissional
26,Ensino de Física (PROFÍS),MP/DP,4,Profissional
27,Letras (PROFLETRAS),MP,4,Profissional
28,Climatologia,MP,4,Profissional
29,Gestão em Saúde,MP,4,Profissional
30,Ensino na Saúde,MP,4,Profissional
31,Transplante,MP,2,Profissional
