#,Curso,Nota AQ 2021,Nota AQ 2025
1,"Mestrado Acadêmico em Administração e Controladoria
Doutorado Acadêmico em Administração e Controladoria",4,4
2,Mestrado Profissional em Administração e Controladoria,4,4
3,Mestrado Profissional em Administração Pública em Rede Nacional - PROFIAP [ASSOCIAÇÃO],3,3
4,"Mestrado Acadêmico em Agronomia: Fitotecnia
Doutorado Acadêmico em Agronomia: Fitotecnia",5,5
5,Mestrado Acadêmico em Antropologia [ASSOCIAÇÃO],3,3
6,"Mestrado Acadêmico em Arquitetura e Urbanismo e Design
Doutorado Acadêmico em Arquitetura e Urbanismo e Design",4,5
7,"Mestrado Acadêmico em Artes
Doutorado Acadêmico em Artes",4,4
8,Mestrado Profissional em Artes - PROFARTES [ASSOCIAÇÃO],4,4
9,Mestrado Acadêmico em Avaliação de Políticas Públicas,3,3
10,Mestrado Profissional em Avaliação de Políticas Públicas,3,3
11,"Mestrado Acadêmico em Bioquímica
Doutorado Acadêmico em Bioquímica",6,6
12,Mestrado Acadêmico em Biotecnologia,3,4
13,Doutorado Acadêmico em Biotecnologia em Rede - RENORBIO [ASSOCIAÇÃO],6,6
14,"Mestrado Acadêmico em Biotecnologia de Recursos Naturais
Doutorado Acadêmico em Biotecnologia de Recursos Naturais",5,4
15,Mestrado Acadêmico em Ciência da Informação,3,4
16,"Mestrado Acadêmico em Ciência do Solo
Doutorado Acadêmico em Ciência do Solo",4,5
17,"Mestrado Acadêmico em Ciência e Tecnologia de Alimentos
Doutorado Acadêmico em Ciência e Tecnologia de Alimentos",4,4
18,Mestrado Acadêmico em Ciências Cardiovasculares,3,4
19,"Mestrado Acadêmico em Ciências da Computação
Doutorado Acadêmico em Ciências da Computação",5,5
20,Mestrado Acadêmico em Ciências da Saúde,3,3
21,"Mestrado Acadêmico em Ciências Farmacêuticas
Doutorado Acadêmico em Ciências Farmacêuticas",4,4
22,"Mestrado Acadêmico em Ciências Marinhas Tropicais
Doutorado Acadêmico em Ciências Marinhas Tropicais",6,5
23,"Mestrado Acadêmico em Ciências Médicas
Doutorado Acadêmico em Ciências Médicas",6,4
24,"Mestrado Acadêmico em Ciências Médico-Cirúrgicas
Doutorado Acadêmico em Ciências Médico-Cirúrgicas",5,4
25,"Mestrado Acadêmico em Ciências Morfofuncionais
Doutorado Acadêmico em Ciências Morfofuncionais",4,5
26,Mestrado Acadêmico em Computação,3,3
27,"Mestrado Acadêmico em Comunicação
Doutorado Acadêmico em Comunicação",4,5
28,Doutorado Acadêmico em Desenvolvimento e Inovação Tecnológica em Medicamentos em Rede [ASSOCIAÇÃO],4,5
29,Mestrado Acadêmico em Desenvolvimento e Meio Ambiente - PRODEMA,5,4
30,Doutorado Acadêmico em Desenvolvimento e Meio Ambiente em Rede - PRODEMA [ASSOCIAÇÃO],5,5
31,"Mestrado Acadêmico em Direito
Doutorado Acadêmico em Direito",4,5
32,"Mestrado Acadêmico em Ecologia e Recursos Naturais
Doutorado Acadêmico em Ecologia e Recursos Naturais",4,4
33,"Mestrado Acadêmico em Economia
Doutorado Acadêmico em Economia",5,5
34,"Mestrado Profissional em Economia
Doutorado Profissional em Economia",4,4
35,"Mestrado Acadêmico em Economia Rural
Doutorado Acadêmico em Economia Rural",4,4
36,"Mestrado Acadêmico em Educação
Doutorado Acadêmico em Educação",4,4
37,Mestrado Profissional em Educação Física - PROEF [ASSOCIAÇÃO],3,4
38,"Mestrado Acadêmico em Enfermagem
Doutorado Acadêmico em Enfermagem",7,7
39,"Mestrado Acadêmico em Engenharia Agrícola
Doutorado Acadêmico em Engenharia Agrícola",5,5
40,Mestrado Acadêmico em Engenharia Civil,A,3
41,"Mestrado Acadêmico em Engenharia Civil: Estruturas e Construção Civil
Doutorado Acadêmico em Engenharia Civil: Estruturas e Construção Civil",4,4
42,"Mestrado Acadêmico em Engenharia Civil: Recursos Hídricos
Doutorado Acadêmico em Engenharia Civil: Recursos Hídricos",7,7
43,"Mestrado Acadêmico em Engenharia de Pesca
Doutorado Acadêmico em Engenharia de Pesca",4,4
44,"Mestrado Acadêmico em Engenharia de Teleinformática
Doutorado Acadêmico em Engenharia de Teleinformática",6,7
45,"Mestrado Acadêmico em Engenharia de Transportes
Doutorado Acadêmico em Engenharia de Transportes",6,6
46,"Mestrado Acadêmico em Engenharia e Ciência de Materiais
Doutorado Acadêmico em Engenharia e Ciência de Materiais",5,5
47,"Mestrado Acadêmico em Engenharia Elétrica
Doutorado Acadêmico em Engenharia Elétrica",4,4
48,Mestrado Acadêmico em Engenharia Elétrica e de Computação,3,3
49,Mestrado Acadêmico em Engenharia Mecânica,4,4
50,"Mestrado Acadêmico em Engenharia Química
Doutorado Acadêmico em Engenharia Química",7,6
51,Mestrado Profissional em Ensino de Ciências e Matemática,4,3
52,Mestrado Profissional em Ensino de Física - PROFIS [ASSOCIAÇÃO],5,4
53,"Mestrado Profissional em Ensino de História - PROFHISTÓRIA [ASSOCIAÇÃO]
Doutorado Profissional em Ensino de História - PROFHISTÓRIA [ASSOCIAÇÃO]",5,5
54,"Mestrado Acadêmico em Estudos da Tradução
Doutorado Acadêmico em Estudos da Tradução",4,5
55,"Mestrado Acadêmico em Farmacologia
Doutorado Acadêmico em Farmacologia",7,7
56,Mestrado Profissional em Farmacologia,5,4
57,"Mestrado Acadêmico em Filosofia
Doutorado Acadêmico em Filosofia",5,5
58,Mestrado Profissional em Filosofia em Rede - PROF-FILO [ASSOCIAÇÃO],4,4
59,"Mestrado Acadêmico em Física
Doutorado Acadêmico em Física",7,7
60,Mestrado Acadêmico em Fisioterapia e Funcionalidade,3,4
61,Mestrado Acadêmico em Gastronomia,A,4
62,"Mestrado Acadêmico em Geografia
Doutorado Acadêmico em Geografia",6,7
63,"Mestrado Acadêmico em Geologia
Doutorado Acadêmico em Geologia",4,4
64,Mestrado Profissional em Gestão e Regulação de Recursos Hídricos - PROFÁGUA [ASSOCIAÇÃO],4,3
65,"Mestrado Acadêmico em História
Doutorado Acadêmico em História",5,5
66,"Mestrado Acadêmico em Letras
Doutorado Acadêmico em Letras",5,5
67,Mestrado Profissional em Letras em Rede - PROFLETRAS [ASSOCIAÇÃO],4,4
68,"Mestrado Acadêmico em Linguística
Doutorado Acadêmico em Linguística",5,5
69,"Mestrado Acadêmico em Matemática
Doutorado Acadêmico em Matemática",7,7
70,Mestrado Profissional em Matemática em Rede Nacional - PROFMAT [ASSOCIAÇÃO],5,4
71,"Mestrado Acadêmico em Medicina Translacional
Doutorado Acadêmico em Medicina Translacional",4,4
72,"Mestrado Acadêmico em Microbiologia Médica
Doutorado Acadêmico em Microbiologia Médica",6,6
73,"Mestrado Acadêmico em Modelagem e Métodos Quantitativos
Doutorado Acadêmico em Modelagem e Métodos Quantitativos",4,4
74,"Mestrado Acadêmico em Odontologia
Doutorado Acadêmico em Odontologia",5,6
75,"Mestrado Acadêmico em Patologia
Doutorado Acadêmico em Patologia",4,4
76,Mestrado Profissional em Políticas Públicas e Gestão da Educação Superior - POLEDUC,3,3
77,"Mestrado Acadêmico em Psicologia
Doutorado Acadêmico em Psicologia",4,5
78,Mestrado Profissional em Psicologia e Políticas Públicas,4,5
79,"Mestrado Acadêmico em Química
Doutorado Acadêmico em Química",6,6
80,Doutorado Acadêmico em Rede Nordeste de Ensino - RENOEN [ASSOCIAÇÃO],A,4
81,Mestrado Acadêmico em Saúde da Família,3,3
82,"Mestrado Profissional em Saúde da Família - RENASF [ASSOCIAÇÃO]
Doutorado Profissional em Saúde da Família - RENASF [ASSOCIAÇÃO]",4,5
83,Mestrado Profissional em Saúde da Mulher e da Criança,3,1
84,"Mestrado Acadêmico em Saúde Pública
Doutorado Acadêmico em Saúde Pública",5,5
85,"Mestrado Acadêmico em Sistemática, Uso e Conservação da Biodiversidade
Doutorado Acadêmico em Sistemática, Uso e Conservação da Biodiversidade",4,4
86,"Mestrado Acadêmico em Sociologia
Doutorado Acadêmico em Sociologia",5,4
87,Mestrado Profissional em Sociologia em Rede Nacional - PROFSOCIO [ASSOCIAÇÃO],4,4
88,Mestrado Profissional em Tecnologia Educacional,3,4
89,"Mestrado Acadêmico em Zootecnia [ASSOCIAÇÃO]
Doutorado Acadêmico em Zootecnia [ASSOCIAÇÃO]",5,6
