 Código,Programa,Instituição de Ensino,Sigla da IES,Modalidade,Área de Avaliação,Nota da Avaliação
12001015015P1,MATEMÁTICA,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
15001016041P0,MATEMÁTICA E ESTATÍSTICA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
22001018003P1,MATEMÁTICA,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
24001015035P6,MATEMÁTICA,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
24009016012P7,MATEMÁTICA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
25001019003P0,MATEMÁTICA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
25001019048P3,ESTATÍSTICA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
26001012015P0,MATEMÁTICA,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
28001010003P1,MATEMÁTICA,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
31001017003P7,MATEMÁTICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
31001017005P0,ESTATÍSTICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
31003010003P3,MATEMÁTICA,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,6
31005012003P2,MATEMÁTICA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
31008011001P9,MATEMÁTICA,INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA,IMPA,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
32001010003P0,MATEMÁTICA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
32001010053P7,ESTATÍSTICA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
33001014007P8,MATEMÁTICA,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
33002010005P1,MATEMÁTICA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,6
33002010006P8,MATEMÁTICA APLICADA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,6
33002010007P4,Probabilidade e Estatística,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,6
33002045003P5,MATEMÁTICA,UNIVERSIDADE DE SÃO PAULO - CAMPUS SÃO CARLOS,USP-SÃO CARLOS,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
33003017003P5,MATEMÁTICA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
33003017004P1,MATEMÁTICA APLICADA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,6
33003017006P4,ESTATÍSTICA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
33004153071P0,MATEMÁTICA,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS SÃO JOSÉ DO RIO PRETO,UNESP-SÃO JOSÉ DO RIO PRETO,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
40001016041P1,MATEMÁTICA,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
40004015013P7,MATEMÁTICA,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
41001010001P6,MATEMÁTICA PURA E APLICADA,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
42001013003P8,MATEMÁTICA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
42001013063P0,MATEMÁTICA APLICADA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,4
52001016001P3,MATEMÁTICA,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,5
53001010003P2,MATEMÁTICA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ,7
