Jogador,Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
Neymar,2014,12,20,Apenas Participação,0,0,Córdoba,La Liga (Espanha),Barcelona,5-0,Vitória
Neymar,2014,12,10,Gol,0,0,PSG,Champions League,Barcelona,3-1,Vitória
Neymar,2014,12,7,Apenas Participação,0,0,Espanyol,La Liga (Espanha),Barcelona,5-1,Vitória
Neymar,2014,11,30,Apenas Participação,0,0,Valencia,La Liga (Espanha),Barcelona,0-1,Vitória
Neymar,2014,11,25,Apenas Participação,0,0,APOEL,Champions League,Barcelona,0-4,Vitória
Neymar,2014,11,22,Gol,0,0,Sevilla,La Liga (Espanha),Barcelona,5-1,Vitória
Neymar,2014,11,22,Assistência,0,0,Sevilla,La Liga (Espanha),Barcelona,5-1,Vitória
Neymar,2014,11,22,Assistência,0,0,Sevilla,La Liga (Espanha),Barcelona,5-1,Vitória
Neymar,2014,11,18,Apenas Participação,0,0,Áustria,Amistosos da Seleção,Brasil,1-2,Vitória
Neymar,2014,11,12,Gol,0,0,Turquia,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,11,12,Gol,0,0,Turquia,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,11,12,Assistência,0,0,Turquia,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,11,8,Gol,0,0,Almería,La Liga (Espanha),Barcelona,1-2,Vitória
Neymar,2014,11,5,Apenas Participação,0,0,Ajax,Champions League,Barcelona,0-2,Vitória
Neymar,2014,11,1,Apenas Participação,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,0-1,Derrota
Neymar,2014,10,25,Gol,1,0,Real Madrid,La Liga (Espanha),Barcelona,3-1,Derrota
Neymar,2014,10,25,Cartão Amarelo,1,0,Real Madrid,La Liga (Espanha),Barcelona,3-1,Derrota
Neymar,2014,10,21,Gol,0,0,Ajax,Champions League,Barcelona,3-1,Vitória
Neymar,2014,10,18,Gol,1,0,Eibar,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2014,10,18,Assistência,1,0,Eibar,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2014,10,18,Cartão Amarelo,1,0,Eibar,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2014,10,14,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,10,14,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,10,14,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,10,14,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
Neymar,2014,10,11,Apenas Participação,0,0,Argentina,Amistosos da Seleção,Brasil,2-0,Vitória
Neymar,2014,10,4,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2014,9,30,Gol,0,0,PSG,Champions League,Barcelona,3-2,Derrota
Neymar,2014,9,27,Gol,0,0,Granada,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2014,9,27,Gol,0,0,Granada,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2014,9,27,Gol,0,0,Granada,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2014,9,24,Apenas Participação,0,0,Málaga,La Liga (Espanha),Barcelona,0-0,Empate
Neymar,2014,9,21,Gol,0,0,Levante,La Liga (Espanha),Barcelona,0-5,Vitória
Neymar,2014,9,17,Apenas Participação,0,0,APOEL,Champions League,Barcelona,1-0,Vitória
Neymar,2014,9,13,Gol,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-0,Vitória
Neymar,2014,9,13,Gol,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-0,Vitória
Neymar,2014,9,9,Assistência,0,0,Equador,Amistosos da Seleção,Brasil,1-0,Vitória
Neymar,2014,9,5,Gol,0,0,Colômbia,Amistosos da Seleção,Brasil,1-0,Vitória
Neymar,2014,8,31,Apenas Participação,0,0,Villarreal,La Liga (Espanha),Barcelona,0-1,Vitória
Neymar,2014,7,4,Assistência,0,0,Colômbia,Copa do Mundo,Brasil,2-1,Derrota
Neymar,2014,6,28,Apenas Participação,0,0,Chile,Copa do Mundo,Brasil,1-1(3-2)g.p.,
Neymar,2014,6,23,Gol,0,0,Camarões,Copa do Mundo,Brasil,1-4,Vitória
Neymar,2014,6,23,Gol,0,0,Camarões,Copa do Mundo,Brasil,1-4,Vitória
Neymar,2014,6,17,Apenas Participação,0,0,México,Copa do Mundo,Brasil,0-0,Empate
Neymar,2014,6,12,Gol,1,0,Croácia,Copa do Mundo,Brasil,3-1,Derrota
Neymar,2014,6,12,Gol,1,0,Croácia,Copa do Mundo,Brasil,3-1,Derrota
Neymar,2014,6,12,Cartão Amarelo,1,0,Croácia,Copa do Mundo,Brasil,3-1,Derrota
Neymar,2014,6,6,Apenas Participação,0,0,Sérvia,Amistosos da Seleção,Brasil,1-0,Vitória
Neymar,2014,6,3,Gol,1,0,Panamá,Amistosos da Seleção,Brasil,4-0,Vitória
Neymar,2014,6,3,Assistência,1,0,Panamá,Amistosos da Seleção,Brasil,4-0,Vitória
Neymar,2014,6,3,Cartão Amarelo,1,0,Panamá,Amistosos da Seleção,Brasil,4-0,Vitória
Neymar,2014,5,17,Apenas Participação,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2014,4,16,Cartão Amarelo,1,0,Real Madrid,Copa do Rei (Espanha),Barcelona,2-1,Derrota
