Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2009,12,6,Gol,0,0,Cruzeiro,Brasileirão,Santos,1-2,Derrota
2009,11,29,Apenas Participação,0,0,Avaí,Brasileirão,Santos,2-2,Empate
2009,11,22,Gol,0,0,Coritiba,Brasileirão,Santos,4-0,Vitória
2009,11,22,Gol,0,0,Coritiba,Brasileirão,Santos,4-0,Vitória
2009,11,15,Gol,0,0,Internacional,Brasileirão,Santos,3-1,Derrota
2009,11,7,Gol,0,0,Náutico,Brasileirão,Santos,3-1,Vitória
2009,11,7,Gol,0,0,Náutico,Brasileirão,Santos,3-1,Vitória
2009,10,30,Apenas Participação,0,0,Suíça,Mundial Sub-17,Brasil,1-0,Derrota
2009,10,27,Apenas Participação,0,0,México,Mundial Sub-17,Brasil,0-1,Vitória
2009,10,24,Gol,0,0,Japão,Mundial Sub-17,Brasil,3-2,Derrota
2009,10,12,Cartão Amarelo,1,0,Vitória,Brasileirão,Santos,0-0,Empate
2009,10,7,Apenas Participação,0,0,Sport,Brasileirão,Santos,0-1,Vitória
2009,10,4,Assistência,1,0,Palmeiras,Brasileirão,Santos,1-3,Derrota
2009,10,4,Cartão Amarelo,1,0,Palmeiras,Brasileirão,Santos,1-3,Derrota
2009,9,27,Apenas Participação,0,0,Atlético Mineiro,Brasileirão,Santos,3-1,Derrota
2009,9,20,Apenas Participação,0,0,Botafogo,Brasileirão,Santos,0-0,Empate
2009,9,13,Assistência,0,0,Santo André,Brasileirão,Santos,1-0,Vitória
2009,9,2,Apenas Participação,0,0,Corinthians,Brasileirão,Santos,2-1,Derrota
2009,8,30,Apenas Participação,0,0,Fluminense,Brasileirão,Santos,2-0,Vitória
2009,8,26,Apenas Participação,0,0,Internacional,Brasileirão,Santos,3-3,Empate
2009,8,23,Apenas Participação,0,0,Goiás,Brasileirão,Santos,2-1,Derrota
2009,8,19,Apenas Participação,0,0,Grêmio,Brasileirão,Santos,1-0,Vitória
2009,8,16,Apenas Participação,0,0,Cruzeiro,Brasileirão,Santos,0-0,Empate
2009,8,8,Apenas Participação,0,0,Avaí,Brasileirão,Santos,2-2,Empate
2009,8,5,Apenas Participação,0,0,Coritiba,Brasileirão,Santos,0-1,Vitória
2009,7,29,Gol,0,0,Náutico,Brasileirão,Santos,1-2,Vitória
2009,7,29,Assistência,0,0,Náutico,Brasileirão,Santos,1-2,Vitória
2009,7,26,Apenas Participação,0,0,Flamengo,Brasileirão,Santos,1-2,Derrota
2009,7,22,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,1-0,Vitória
2009,7,22,Cartão Amarelo,1,0,Athletico Paranaense,Brasileirão,Santos,1-0,Vitória
2009,7,19,Apenas Participação,0,0,São Paulo,Brasileirão,Santos,2-1,Derrota
2009,7,15,Gol,0,0,Grêmio Barueri,Brasileirão,Santos,3-3,Empate
2009,7,4,Assistência,1,0,Sport,Brasileirão,Santos,1-0,Vitória
2009,7,4,Cartão Amarelo,1,0,Sport,Brasileirão,Santos,1-0,Vitória
2009,6,28,Apenas Participação,0,0,Palmeiras,Brasileirão,Santos,1-1,Empate
2009,6,21,Gol,0,0,Atlético Mineiro,Brasileirão,Santos,2-3,Derrota
2009,6,13,Apenas Participação,0,0,Botafogo,Brasileirão,Santos,2-0,Derrota
2009,6,4,Cartão Amarelo,1,0,Santo André,Brasileirão,Santos,3-3,Empate
2009,5,31,Apenas Participação,0,0,Corinthians,Brasileirão,Santos,3-1,Vitória
2009,5,24,Apenas Participação,0,0,Fluminense,Brasileirão,Santos,1-4,Vitória
2009,5,17,Assistência,0,0,Goiás,Brasileirão,Santos,3-3,Empate
2009,5,17,Assistência,0,0,Goiás,Brasileirão,Santos,3-3,Empate
2009,5,10,Cartão Amarelo,1,0,Grêmio,Brasileirão,Santos,1-1,Empate
2009,5,3,Cartão Amarelo,1,0,Corinthians,Paulistão,Santos,1-1,Empate
2009,4,26,Apenas Participação,0,0,Corinthians,Paulistão,Santos,1-3,Derrota
2009,4,22,Apenas Participação,0,0,CSA,Copa do Brasil,Santos,0-1,Derrota
2009,4,18,Assistência,1,0,Palmeiras,Paulistão,Santos,1-2,Vitória
2009,4,18,Cartão Amarelo,1,0,Palmeiras,Paulistão,Santos,1-2,Vitória
2009,4,11,Gol,0,0,Palmeiras,Paulistão,Santos,2-1,Vitória
2009,4,8,Apenas Participação,0,0,CSA,Copa do Brasil,Santos,0-0,Empate
2009,4,5,Apenas Participação,0,0,Ponte Preta,Paulistão,Santos,2-3,Vitória
2009,4,2,Apenas Participação,0,0,Portuguesa,Paulistão,Santos,1-0,Vitória
2009,3,28,Apenas Participação,0,0,Grêmio Barueri,Paulistão,Santos,0-0,Empate
2009,3,25,Gol,0,0,Santo André,Paulistão,Santos,3-0,Vitória
2009,3,25,Assistência,0,0,Santo André,Paulistão,Santos,3-0,Vitória
2009,3,22,Apenas Participação,0,0,Corinthians,Paulistão,Santos,1-0,Derrota
2009,3,18,Gol,0,0,Rio Branco-AC,Copa do Brasil,Santos,4-0,Vitória
2009,3,18,Assistência,0,0,Rio Branco-AC,Copa do Brasil,Santos,4-0,Vitória
2009,3,15,Gol,0,0,Mogi Mirim,Paulistão,Santos,3-0,Vitória
2009,3,12,Apenas Participação,0,0,Paulista,Paulistão,Santos,1-1,Empate
2009,3,7,Apenas Participação,0,0,Osasco Sporting,Paulistão,Santos,1-2,Vitória
2010,12,5,Apenas Participação,0,0,Flamengo,Brasileirão,Santos,0-0,Empate
2010,11,28,Gol,1,0,Avaí,Brasileirão,Santos,3-2,Derrota
2010,11,28,Cartão Amarelo,1,0,Avaí,Brasileirão,Santos,3-2,Derrota
2010,11,21,Gol,1,0,Goiás,Brasileirão,Santos,1-4,Vitória
2010,11,21,Gol,1,0,Goiás,Brasileirão,Santos,1-4,Vitória
2010,11,21,Gol,1,0,Goiás,Brasileirão,Santos,1-4,Vitória
2010,11,21,Cartão Amarelo,1,0,Goiás,Brasileirão,Santos,1-4,Vitória
