Temporada,Lesao,Inicio,Fim,Dias_Afastado,Jogos_Perdidos
25/26,Operado ao joelho,15/12/2025,14/02/2026,62,10
25/26,Lesão meniscal,21/11/2025,27/11/2025,7,1
25/26,Lesão na coxa,19/09/2025,31/10/2025,43,7
24/25,Lesão na coxa,17/04/2025,21/05/2025,35,6
24/25,Lesão na coxa,04/03/2025,12/04/2025,40,2
24/25,Recuperação ritmo competitivo,17/12/2024,03/02/2025,49,6
24/25,Lesão na coxa,05/11/2024,16/12/2024,42,6
24/25,Recuperação ritmo competitivo,23/09/2024,19/10/2024,27,5
23/24,Rotura dos ligamentos cruzados,19/10/2023,22/09/2024,340,48
23/24,Problemas musculares,04/08/2023,03/09/2023,31,5
22/23,Operação ao tornozelo,20/02/2023,30/06/2023,131,18
22/23,Lesão no tornozelo,25/11/2022,04/12/2022,10,2
21/22,Lesão no tornozelo,29/11/2021,13/02/2022,77,15
21/22,Queixas adutores,15/11/2021,18/11/2021,4,1
21/22,Queixas adutores,16/10/2021,23/10/2021,8,1
21/22,Recuperação ritmo competitivo,01/08/2021,26/08/2021,26,4
20/21,Queixas adutores,11/02/2021,19/03/2021,37,9
20/21,Problemas na tibiotársica,14/12/2020,10/01/2021,28,5
20/21,Gestão de esforço,05/12/2020,06/12/2020,2,1
20/21,Queixas adutores,28/10/2020,19/11/2020,23,5
20/21,Coronavírus,02/09/2020,11/09/2020,10,1
19/20,Traumatismo grade costal,03/02/2020,16/02/2020,14,4
19/20,Lesão na coxa,14/10/2019,20/11/2019,38,8
19/20,Recuperação ritmo competitivo,10/08/2019,06/09/2019,28,4
18/19,Rotura de ligamentos do tarso,07/06/2019,09/08/2019,64,8
18/19,Fratura do Metatarso,24/01/2019,19/04/2019,86,20
18/19,Gestão de esforço,11/01/2019,13/01/2019,3,1
18/19,Queixas adutores,03/12/2018,22/12/2018,20,2
18/19,Queixas adutores,21/11/2018,27/11/2018,7,1
18/19,Gestão de esforço,19/10/2018,21/10/2018,3,1
18/19,Gestão de esforço,13/09/2018,16/09/2018,4,1
17/18,Fratura do Metatarso,26/02/2018,27/05/2018,91,18
17/18,Problemas musculares na coxa,19/01/2018,25/01/2018,7,2
17/18,Choque,11/01/2018,15/01/2018,5,1
17/18,Pequena lesão,02/11/2017,13/11/2017,12,1
17/18,Pequena lesão,21/09/2017,25/09/2017,5,1
16/17,Problemas musculares,09/03/2017,16/03/2017,8,1
16/17,Queixas adutores,05/12/2016,12/12/2016,8,2
15/16,Problemas musculares na coxa,21/01/2016,28/01/2016,8,1
15/16,Queixas adutores,10/12/2015,21/12/2015,12,1
15/16,Rotura no tendão do adutor,07/12/2015,14/12/2015,8,2
15/16,Doente,10/08/2015,24/08/2015,15,4
14/15,Entorse do tornozelo,21/08/2014,28/08/2014,8,1
14/15,Lesão na coluna,05/07/2014,04/08/2014,31,2
13/14,Lesão no pé,17/04/2014,12/05/2014,26,4
