Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2014,12,20,Nenhuma,0,0,San Lorenzo,Mundial de Clubes,Real Madrid,2-0,Derrota
2014,12,16,2 Assist.,0,0,Cruz Azul,Mundial de Clubes,Real Madrid,0-4,Vitória
2014,12,12,2 Gol(s),1,0,Almería,La Liga (Espanha),Real Madrid,1-4,Vitória
2014,12,09,1 Gol(s),0,0,Ludogorets Razgrad,Champions League,Real Madrid,4-0,Vitória
2014,12,06,3 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Real Madrid,3-0,Vitória
2014,11,29,2 Assist.,0,0,Málaga,La Liga (Espanha),Real Madrid,1-2,Vitória
2014,11,26,1 Gol(s),0,0,FC Basel,Champions League,Real Madrid,0-1,Vitória
2014,11,22,2 Gol(s) / 1 Assist.,0,0,Eibar,La Liga (Espanha),Real Madrid,0-4,Vitória
2014,11,18,Nenhuma,0,0,Argentina,Amistosos da Seleção,Portugal,1-0,Vitória
2014,11,14,1 Gol(s),0,0,Armênia,EE,Portugal,1-0,Vitória
2014,11,08,1 Gol(s) / 2 Assist.,0,0,Rayo Vallecano,La Liga (Espanha),Real Madrid,5-1,Vitória
2014,11,04,Nenhuma,0,0,Liverpool,Champions League,Real Madrid,1-0,Vitória
2014,11,01,1 Gol(s) / 2 Assist.,0,0,Granada,La Liga (Espanha),Real Madrid,0-4,Vitória
2014,10,25,1 Gol(s),1,0,Barcelona,La Liga (Espanha),Real Madrid,3-1,Vitória
2014,10,22,1 Gol(s),0,0,Liverpool,Champions League,Real Madrid,0-3,Vitória
2014,10,18,2 Gol(s),0,0,Levante,La Liga (Espanha),Real Madrid,0-5,Vitória
2014,10,14,1 Gol(s),1,0,Dinamarca,EE,Portugal,0-1,Vitória
2014,10,11,Nenhuma,0,0,França,Amistosos da Seleção,Portugal,2-1,Derrota
2014,10,05,3 Gol(s) / 1 Assist.,0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,5-0,Vitória
2014,10,01,1 Gol(s),0,0,Ludogorets Razgrad,Champions League,Real Madrid,1-2,Vitória
2014,09,27,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Real Madrid,0-2,Vitória
2014,09,23,4 Gol(s),0,0,Elche,La Liga (Espanha),Real Madrid,5-1,Vitória
2014,09,20,3 Gol(s),0,0,Deportivo,La Liga (Espanha),Real Madrid,2-8,Vitória
2014,09,16,1 Gol(s) / 1 Assist.,0,0,FC Basel,Champions League,Real Madrid,5-1,Vitória
2014,09,13,1 Gol(s),0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,1-2,Derrota
2014,08,25,1 Gol(s),0,0,Córdoba,La Liga (Espanha),Real Madrid,2-0,Vitória
2014,08,22,Nenhuma,1,0,Atlético de Madrid,Supercopa da Espanha,Real Madrid,1-0,Derrota
2014,08,19,Nenhuma,0,0,Atlético de Madrid,Supercopa da Espanha,Real Madrid,1-1,Empate
2014,08,12,2 Gol(s),0,0,Sevilla,SCE,Real Madrid,2-0,Derrota
2014,06,26,1 Gol(s),0,0,Gana,Copa do Mundo,Portugal,2-1,Vitória
2014,06,22,1 Assist.,0,0,Estados Unidos,Copa do Mundo,Portugal,2-2,Empate
2014,06,16,Nenhuma,0,0,Alemanha,Copa do Mundo,Portugal,4-0,Derrota
2014,06,10,Nenhuma,0,0,Rep. Irlanda,Amistosos da Seleção,Portugal,5-1,Derrota
2014,05,24,1 Gol(s) / 1 Assist.,1,0,Atlético de Madrid,Champions League,Real Madrid,4-1(a.p.),N/A
2014,05,07,Nenhuma,0,0,Valladolid,La Liga (Espanha),Real Madrid,1-1,Empate
2014,05,04,1 Gol(s) / 1 Assist.,0,0,Valencia,La Liga (Espanha),Real Madrid,2-2,Empate
2014,04,29,2 Gol(s),0,0,Bayern München,Champions League,Real Madrid,0-4,Vitória
2014,04,26,2 Gol(s),0,0,Osasuna,La Liga (Espanha),Real Madrid,4-0,Vitória
2014,04,23,Nenhuma,0,0,Bayern München,Champions League,Real Madrid,1-0,Vitória
2014,04,08,Nenhuma,0,0,Borussia Dortmund,Champions League,Real Madrid,2-0,Derrota
2014,04,02,1 Gol(s),0,0,Borussia Dortmund,Champions League,Real Madrid,3-0,Vitória
2014,03,29,1 Gol(s) / 1 Assist.,0,0,Rayo Vallecano,La Liga (Espanha),Real Madrid,5-0,Vitória
2014,03,26,1 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,2-1,Derrota
2014,03,23,1 Gol(s),1,0,Barcelona,La Liga (Espanha),Real Madrid,3-4,Derrota
2014,03,18,2 Gol(s),0,0,Schalke 04,Champions League,Real Madrid,3-1,Vitória
2014,03,15,1 Gol(s),0,0,Málaga,La Liga (Espanha),Real Madrid,0-1,Vitória
2014,03,09,1 Gol(s) / 1 Assist.,0,0,Levante,La Liga (Espanha),Real Madrid,3-0,Vitória
