Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2014,12,20,2 Gol(s),0,0,Córdoba,La Liga (Espanha),Barcelona,5-0,Vitória
2014,12,13,Nenhuma,0,0,Getafe,La Liga (Espanha),Barcelona,0-0,Empate
2014,12,10,1 Gol(s),0,0,PSG,Champions League,Barcelona,3-1,Vitória
2014,12,07,3 Gol(s),0,0,Espanyol,La Liga (Espanha),Barcelona,5-1,Vitória
2014,11,30,Nenhuma,1,0,Valencia,La Liga (Espanha),Barcelona,0-1,Vitória
2014,11,25,3 Gol(s),0,0,APOEL,Champions League,Barcelona,0-4,Vitória
2014,11,22,3 Gol(s),0,0,Sevilla,La Liga (Espanha),Barcelona,5-1,Vitória
2014,11,18,Nenhuma,0,0,Portugal,Amistosos da Seleção,Argentina,1-0,Derrota
2014,11,12,1 Gol(s),0,0,Croácia,Amistosos da Seleção,Argentina,2-1,Vitória
2014,11,08,Nenhuma,0,0,Almería,La Liga (Espanha),Barcelona,1-2,Vitória
2014,11,05,2 Gol(s),0,0,Ajax,Champions League,Barcelona,0-2,Vitória
2014,11,01,Nenhuma,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,0-1,Derrota
2014,10,25,Nenhuma,1,0,Real Madrid,La Liga (Espanha),Barcelona,3-1,Derrota
2014,10,21,1 Gol(s) / 1 Assist.,0,0,Ajax,Champions League,Barcelona,3-1,Vitória
2014,10,18,1 Gol(s) / 1 Assist.,0,0,Eibar,La Liga (Espanha),Barcelona,3-0,Vitória
2014,10,14,2 Gol(s) / 1 Assist.,0,0,Hong Kong,Amistosos da Seleção,Argentina,0-7,Vitória
2014,10,11,Nenhuma,0,0,Brasil,Amistosos da Seleção,Argentina,2-0,Derrota
2014,10,04,1 Gol(s),0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,0-2,Vitória
2014,09,30,1 Gol(s),0,0,PSG,Champions League,Barcelona,3-2,Derrota
2014,09,27,2 Gol(s) / 2 Assist.,0,0,Granada,La Liga (Espanha),Barcelona,6-0,Vitória
2014,09,24,Nenhuma,0,0,Málaga,La Liga (Espanha),Barcelona,0-0,Empate
2014,09,21,1 Gol(s) / 2 Assist.,0,0,Levante,La Liga (Espanha),Barcelona,0-5,Vitória
2014,09,17,1 Assist.,0,0,APOEL,Champions League,Barcelona,1-0,Vitória
2014,09,13,2 Assist.,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-0,Vitória
2014,08,31,Nenhuma,0,0,Villarreal,La Liga (Espanha),Barcelona,0-1,Vitória
2014,08,24,2 Gol(s),0,0,Elche,La Liga (Espanha),Barcelona,3-0,Vitória
2014,07,13,Nenhuma,0,0,Alemanha,Copa do Mundo,Argentina,1-0(a.p.),N/A
2014,07,09,Nenhuma,0,0,Holanda,Copa do Mundo,Argentina,0-0(2-4)g.p.,N/A
2014,07,05,Nenhuma,0,0,Bélgica,Copa do Mundo,Argentina,1-0,Derrota
2014,07,01,1 Assist.,0,0,Suíça,Copa do Mundo,Argentina,1-0(a.p.),N/A
2014,06,25,2 Gol(s),0,0,Nigéria,Copa do Mundo,Argentina,2-3,Vitória
2014,06,21,1 Gol(s),0,0,Irã,Copa do Mundo,Argentina,1-0,Derrota
2014,06,15,1 Gol(s),0,0,Bósnia-Herzgovina,Copa do Mundo,Argentina,2-1,Derrota
2014,06,07,1 Gol(s),0,0,Eslovênia,Amistosos da Seleção,Argentina,2-0,Vitória
2014,06,04,Nenhuma,0,0,Trinidad e Tobago,Amistosos da Seleção,Argentina,3-0,Vitória
2014,05,17,1 Assist.,1,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
2014,05,11,Nenhuma,0,0,Elche,La Liga (Espanha),Barcelona,0-0,Empate
2014,05,03,1 Gol(s),0,0,Getafe,La Liga (Espanha),Barcelona,2-2,Empate
2014,04,27,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Barcelona,2-3,Vitória
2014,04,20,1 Gol(s),0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-1,Vitória
2014,04,16,Nenhuma,0,0,Real Madrid,Copa do Rei (Espanha),Barcelona,2-1,Derrota
2014,04,12,Nenhuma,1,0,Granada,La Liga (Espanha),Barcelona,1-0,Derrota
2014,04,09,Nenhuma,0,0,Atlético de Madrid,Champions League,Barcelona,1-0,Derrota
2014,04,05,2 Gol(s),0,0,Real Betis,La Liga (Espanha),Barcelona,3-1,Vitória
2014,04,01,Nenhuma,0,0,Atlético de Madrid,Champions League,Barcelona,1-1,Empate
2014,03,29,1 Gol(s),0,0,Espanyol,La Liga (Espanha),Barcelona,0-1,Vitória
2014,03,26,1 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Barcelona,3-0,Vitória
2014,03,23,3 Gol(s) / 1 Assist.,0,0,Real Madrid,La Liga (Espanha),Barcelona,3-4,Vitória
2014,03,16,3 Gol(s) / 1 Assist.,0,0,Osasuna,La Liga (Espanha),Barcelona,7-0,Vitória
2014,03,12,1 Gol(s),0,0,Manchester City,Champions League,Barcelona,2-1,Vitória
2014,03,08,Nenhuma,0,0,Valladolid,La Liga (Espanha),Barcelona,1-0,Derrota
2014,03,05,Nenhuma,0,0,Romênia,Amistosos da Seleção,Argentina,0-0,Empate
2014,03,02,1 Gol(s),0,0,Almería,La Liga (Espanha),Barcelona,4-1,Vitória
2014,02,22,1 Gol(s),0,0,Real Sociedad,La Liga (Espanha),Barcelona,3-1,Derrota
2014,02,18,1 Gol(s),0,0,Manchester City,Champions League,Barcelona,0-2,Vitória
2014,02,15,2 Gol(s) / 1 Assist.,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,6-0,Vitória
2014,02,12,1 Gol(s),0,0,Real Sociedad,Copa do Rei (Espanha),Barcelona,1-1,Empate
2014,02,09,2 Gol(s) / 1 Assist.,0,0,Sevilla,La Liga (Espanha),Barcelona,1-4,Vitória
2014,02,05,Nenhuma,1,0,Real Sociedad,Copa do Rei (Espanha),Barcelona,2-0,Vitória
2014,02,01,1 Gol(s) / 1 Assist.,0,0,Valencia,La Liga (Espanha),Barcelona,2-3,Derrota
2014,01,29,Nenhuma,0,0,Levante,Copa do Rei (Espanha),Barcelona,5-1,Vitória
2014,01,26,1 Assist.,0,0,Málaga,La Liga (Espanha),Barcelona,3-0,Vitória
2014,01,22,3 Assist.,0,0,Levante,Copa do Rei (Espanha),Barcelona,1-4,Vitória
2014,01,19,Nenhuma,0,0,Levante,La Liga (Espanha),Barcelona,1-1,Empate
2014,01,16,2 Gol(s),0,0,Getafe,Copa do Rei (Espanha),Barcelona,0-2,Vitória
2014,01,11,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,0-0,Empate
2014,01,08,2 Gol(s),0,0,Getafe,Copa do Rei (Espanha),Barcelona,4-0,Vitória
2015,12,30,1 Gol(s),0,0,Real Betis,La Liga (Espanha),Barcelona,4-0,Vitória
2015,12,20,1 Gol(s),0,0,River Plate,Mundial de Clubes,Barcelona,0-3,Vitória
2015,12,12,1 Gol(s) / 1 Assist.,0,0,Deportivo,La Liga (Espanha),Barcelona,2-2,Empate
2015,12,09,1 Gol(s),0,0,Bayer Leverkusen,Champions League,Barcelona,1-1,Empate
2015,12,05,1 Assist.,0,0,Valencia,La Liga (Espanha),Barcelona,1-1,Empate
2015,11,28,1 Gol(s),0,0,Real Sociedad,La Liga (Espanha),Barcelona,4-0,Vitória
2015,11,24,2 Gol(s) / 1 Assist.,1,0,Roma,Champions League,Barcelona,6-1,Vitória
2015,11,21,Nenhuma,0,0,Real Madrid,La Liga (Espanha),Barcelona,0-4,Vitória
2015,09,26,Nenhuma,0,0,Las Palmas,La Liga (Espanha),Barcelona,2-1,Vitória
2015,09,23,1 Assist.,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,4-1,Derrota
2015,09,20,2 Gol(s) / 1 Assist.,0,0,Levante,La Liga (Espanha),Barcelona,4-1,Vitória
2015,09,16,Nenhuma,0,0,Roma,Champions League,Barcelona,1-1,Empate
2015,09,12,1 Gol(s),0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-2,Vitória
2015,09,08,1 Gol(s),0,0,México,Amistosos da Seleção,Argentina,2-2,Empate
2015,09,04,2 Gol(s),0,0,Bolívia,Amistosos da Seleção,Argentina,7-0,Vitória
2015,08,29,Nenhuma,0,0,Málaga,La Liga (Espanha),Barcelona,1-0,Vitória
2015,08,23,Nenhuma,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,0-1,Vitória
2015,08,17,1 Gol(s),0,0,Athletic Bilbao,Supercopa da Espanha,Barcelona,1-1,Empate
2015,08,14,Nenhuma,0,0,Athletic Bilbao,Supercopa da Espanha,Barcelona,4-0,Derrota
2015,08,11,2 Gol(s),0,0,Sevilla,SCE,Barcelona,5-4(a.p.),N/A
2015,07,04,Nenhuma,0,0,Chile,Copa América,Argentina,0-0(4-1)g.p.,N/A
2015,06,30,3 Assist.,0,0,Paraguai,Copa América,Argentina,6-1,Derrota
2015,06,26,Nenhuma,1,0,Colômbia,Copa América,Argentina,0-0(5-4)g.p.,N/A
2015,06,20,Nenhuma,0,0,Jamaica,Copa América,Argentina,1-0,Derrota
2015,06,16,Nenhuma,0,0,Uruguai,Copa América,Argentina,1-0,Derrota
2015,06,13,1 Gol(s),0,0,Paraguai,Copa América,Argentina,2-2,Empate
2015,06,06,Nenhuma,0,0,Juventus,Champions League,Barcelona,1-3,Vitória
2015,05,30,2 Gol(s),0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,1-3,Vitória
2015,05,23,2 Gol(s),0,0,Deportivo,La Liga (Espanha),Barcelona,2-2,Empate
2015,05,17,1 Gol(s),1,0,Atlético de Madrid,La Liga (Espanha),Barcelona,0-1,Vitória
2015,05,12,Nenhuma,0,0,Bayern München,Champions League,Barcelona,3-2,Derrota
2015,05,09,Nenhuma,0,0,Real Sociedad,La Liga (Espanha),Barcelona,2-0,Vitória
2015,05,06,2 Gol(s) / 1 Assist.,0,0,Bayern München,Champions League,Barcelona,3-0,Vitória
2015,05,02,2 Gol(s) / 1 Assist.,0,0,Córdoba,La Liga (Espanha),Barcelona,0-8,Vitória
2015,04,28,2 Gol(s) / 1 Assist.,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
2015,04,25,1 Gol(s),0,0,Espanyol,La Liga (Espanha),Barcelona,0-2,Vitória
2015,04,21,Nenhuma,0,0,PSG,Champions League,Barcelona,2-0,Vitória
2015,04,18,1 Gol(s) / 1 Assist.,0,0,Valencia,La Liga (Espanha),Barcelona,2-0,Vitória
2015,04,15,1 Assist.,1,0,PSG,Champions League,Barcelona,1-3,Vitória
2015,04,11,1 Gol(s),0,0,Sevilla,La Liga (Espanha),Barcelona,2-2,Empate
2015,04,08,1 Gol(s),0,0,Almería,La Liga (Espanha),Barcelona,4-0,Vitória
2015,04,05,Nenhuma,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,0-1,Vitória
2015,03,31,Nenhuma,0,0,Equador,Amistosos da Seleção,Argentina,2-1,Vitória
2015,03,28,Nenhuma,0,0,El Salvador,Amistosos da Seleção,Argentina,0-2,Vitória
2015,03,22,1 Assist.,0,0,Real Madrid,La Liga (Espanha),Barcelona,2-1,Vitória
2015,03,18,1 Assist.,0,0,Manchester City,Champions League,Barcelona,1-0,Vitória
2015,03,14,2 Gol(s),0,0,Eibar,La Liga (Espanha),Barcelona,0-2,Vitória
2015,03,08,3 Gol(s) / 1 Assist.,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,6-1,Vitória
2015,03,04,1 Assist.,0,0,Villarreal,Copa do Rei (Espanha),Barcelona,1-3,Vitória
2015,02,28,1 Gol(s),0,0,Granada,La Liga (Espanha),Barcelona,1-3,Vitória
2015,02,24,Nenhuma,0,0,Manchester City,Champions League,Barcelona,1-2,Vitória
2015,02,21,Nenhuma,0,0,Málaga,La Liga (Espanha),Barcelona,0-1,Derrota
2015,02,15,3 Gol(s) / 1 Assist.,0,0,Levante,La Liga (Espanha),Barcelona,5-0,Vitória
2015,02,11,1 Gol(s) / 1 Assist.,0,0,Villarreal,Copa do Rei (Espanha),Barcelona,3-1,Vitória
2015,02,08,1 Gol(s) / 2 Assist.,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-5,Vitória
2015,02,01,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Barcelona,3-2,Vitória
2015,01,28,Nenhuma,1,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,2-3,Vitória
2015,01,24,2 Gol(s) / 2 Assist.,0,0,Elche,La Liga (Espanha),Barcelona,0-6,Vitória
2015,01,21,1 Gol(s),0,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,1-0,Vitória
2015,01,18,3 Gol(s),0,0,Deportivo,La Liga (Espanha),Barcelona,0-4,Vitória
2015,01,11,1 Gol(s) / 1 Assist.,1,0,Atlético de Madrid,La Liga (Espanha),Barcelona,3-1,Vitória
2015,01,08,1 Gol(s) / 2 Assist.,0,0,Elche,Copa do Rei (Espanha),Barcelona,5-0,Vitória
2015,01,04,Nenhuma,0,0,Real Sociedad,La Liga (Espanha),Barcelona,1-0,Derrota
2016,12,18,1 Gol(s),0,0,Espanyol,La Liga (Espanha),Barcelona,4-1,Vitória
2016,12,10,2 Gol(s),0,0,Osasuna,La Liga (Espanha),Barcelona,0-3,Vitória
2016,12,06,1 Gol(s),0,0,Borussia M´gladbach,Champions League,Barcelona,4-0,Vitória
2016,12,03,Nenhuma,0,0,Real Madrid,La Liga (Espanha),Barcelona,1-1,Empate
2016,11,27,1 Gol(s),0,0,Real Sociedad,La Liga (Espanha),Barcelona,1-1,Empate
2016,11,23,2 Gol(s),0,0,Celtic,Champions League,Barcelona,0-2,Vitória
2016,11,15,1 Gol(s) / 2 Assist.,0,0,Colômbia,Eliminatórias da Copa do Mundo,Argentina,3-0,Vitória
2016,11,10,Nenhuma,0,0,Brasil,Eliminatórias da Copa do Mundo,Argentina,3-0,Derrota
2016,11,06,1 Gol(s) / 1 Assist.,1,0,Sevilla,La Liga (Espanha),Barcelona,1-2,Vitória
2016,11,01,1 Gol(s),0,0,Manchester City,Champions League,Barcelona,3-1,Derrota
2016,10,29,Nenhuma,0,0,Granada,La Liga (Espanha),Barcelona,1-0,Vitória
2016,10,22,2 Gol(s),1,0,Valencia,La Liga (Espanha),Barcelona,2-3,Vitória
2016,10,19,3 Gol(s) / 1 Assist.,0,0,Manchester City,Champions League,Barcelona,4-0,Vitória
2016,10,15,1 Gol(s),1,0,Deportivo,La Liga (Espanha),Barcelona,4-0,Vitória
2016,09,21,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
2016,09,17,2 Gol(s) / 1 Assist.,0,0,Leganés,La Liga (Espanha),Barcelona,1-5,Vitória
2016,09,13,3 Gol(s) / 1 Assist.,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
2016,09,10,Nenhuma,0,0,Alavés,La Liga (Espanha),Barcelona,1-2,Derrota
2016,09,01,1 Gol(s),0,0,Uruguai,Eliminatórias da Copa do Mundo,Argentina,1-0,Vitória
2016,08,28,Nenhuma,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,0-1,Vitória
2016,08,20,2 Gol(s) / 1 Assist.,0,0,Real Betis,La Liga (Espanha),Barcelona,6-2,Vitória
2016,08,17,1 Gol(s) / 1 Assist.,0,0,Sevilla,Supercopa da Espanha,Barcelona,3-0,Vitória
2016,08,14,1 Assist.,0,0,Sevilla,Supercopa da Espanha,Barcelona,0-2,Vitória
2016,06,26,Nenhuma,1,0,Chile,Copa América,Argentina,0-0(2-4)g.p.,N/A
2016,06,21,1 Gol(s) / 2 Assist.,0,0,Estados Unidos,Copa América,Argentina,0-4,Vitória
2016,06,18,1 Gol(s) / 2 Assist.,0,0,Venezuela,Copa América,Argentina,4-1,Derrota
2016,06,14,Nenhuma,0,0,Bolívia,Copa América,Argentina,3-0,Derrota
2016,06,10,3 Gol(s),0,0,Panamá,Copa América,Argentina,5-0,Derrota
2016,06,06,Nenhuma,0,0,Chile,Copa América,Argentina,2-1,Derrota
2016,05,27,Nenhuma,0,0,Honduras,Amistosos da Seleção,Argentina,1-0,Vitória
2016,05,22,2 Assist.,0,0,Sevilla,Copa do Rei (Espanha),Barcelona,2-0(a.p.),N/A
2016,05,14,Nenhuma,0,0,Granada,La Liga (Espanha),Barcelona,0-3,Vitória
2016,05,08,1 Gol(s) / 1 Assist.,1,0,Espanyol,La Liga (Espanha),Barcelona,5-0,Vitória
2016,04,30,2 Assist.,1,0,Real Betis,La Liga (Espanha),Barcelona,0-2,Vitória
2016,04,23,1 Gol(s) / 1 Assist.,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,6-0,Vitória
2016,04,20,1 Gol(s) / 2 Assist.,0,0,Deportivo,La Liga (Espanha),Barcelona,0-8,Vitória
2016,04,17,1 Gol(s),0,0,Valencia,La Liga (Espanha),Barcelona,1-2,Derrota
2016,04,13,Nenhuma,0,0,Atlético de Madrid,Champions League,Barcelona,2-0,Derrota
2016,04,09,Nenhuma,0,0,Real Sociedad,La Liga (Espanha),Barcelona,1-0,Derrota
2016,04,05,Nenhuma,0,0,Atlético de Madrid,Champions League,Barcelona,2-1,Vitória
2016,04,02,Nenhuma,0,0,Real Madrid,La Liga (Espanha),Barcelona,1-2,Derrota
2016,03,29,1 Gol(s),0,0,Bolívia,Eliminatórias da Copa do Mundo,Argentina,2-0,Vitória
2016,03,24,Nenhuma,0,0,Chile,Eliminatórias da Copa do Mundo,Argentina,1-2,Vitória
2016,03,20,Nenhuma,0,0,Villarreal,La Liga (Espanha),Barcelona,2-2,Empate
2016,03,16,1 Gol(s),0,0,Arsenal,Champions League,Barcelona,3-1,Vitória
2016,03,12,1 Gol(s) / 3 Assist.,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
2016,03,06,2 Gol(s),0,0,Eibar,La Liga (Espanha),Barcelona,0-4,Vitória
2016,03,03,3 Gol(s),0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,1-5,Vitória
2016,02,28,1 Gol(s),0,0,Sevilla,La Liga (Espanha),Barcelona,2-1,Vitória
2016,02,23,2 Gol(s),0,0,Arsenal,Champions League,Barcelona,0-2,Vitória
2016,02,20,Nenhuma,0,0,Las Palmas,La Liga (Espanha),Barcelona,1-2,Vitória
2016,02,17,2 Gol(s),0,0,Sporting Gijón,La Liga (Espanha),Barcelona,1-3,Vitória
2016,02,14,1 Gol(s) / 2 Assist.,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,6-1,Vitória
2016,02,07,1 Assist.,0,0,Levante,La Liga (Espanha),Barcelona,0-2,Vitória
2016,02,03,3 Gol(s),0,0,Valencia,Copa do Rei (Espanha),Barcelona,7-0,Vitória
2016,01,30,1 Gol(s),0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,2-1,Vitória
2016,01,27,1 Assist.,0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,3-1,Vitória
2016,01,23,1 Gol(s),1,0,Málaga,La Liga (Espanha),Barcelona,1-2,Vitória
2016,01,17,1 Gol(s),0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,6-0,Vitória
2016,01,13,1 Assist.,0,0,Espanyol,Copa do Rei (Espanha),Barcelona,0-2,Vitória
2016,01,09,3 Gol(s),0,0,Granada,La Liga (Espanha),Barcelona,4-0,Vitória
2016,01,06,2 Gol(s) / 2 Assist.,1,0,Espanyol,Copa do Rei (Espanha),Barcelona,4-1,Vitória
2016,01,02,Nenhuma,0,0,Espanyol,La Liga (Espanha),Barcelona,0-0,Empate
2017,12,23,1 Gol(s) / 1 Assist.,0,0,Real Madrid,La Liga (Espanha),Barcelona,0-3,Vitória
2017,12,17,1 Assist.,0,0,Deportivo,La Liga (Espanha),Barcelona,4-0,Vitória
2017,12,10,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Barcelona,0-2,Vitória
2017,12,05,Nenhuma,0,0,Sporting,Champions League,Barcelona,2-0,Vitória
2017,12,02,1 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Barcelona,2-2,Empate
2017,11,26,1 Assist.,0,0,Valencia,La Liga (Espanha),Barcelona,1-1,Empate
2017,11,22,Nenhuma,0,0,Juventus,Champions League,Barcelona,0-0,Empate
2017,11,18,Nenhuma,0,0,Leganés,La Liga (Espanha),Barcelona,0-3,Vitória
2017,11,11,Nenhuma,0,0,Rússia,Amistosos da Seleção,Argentina,0-1,Vitória
2017,11,04,Nenhuma,1,0,Sevilla,La Liga (Espanha),Barcelona,2-1,Vitória
2017,10,31,Nenhuma,0,0,Olympiacos,Champions League,Barcelona,0-0,Empate
2017,10,28,1 Gol(s),0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,0-2,Vitória
2017,10,21,1 Assist.,0,0,Málaga,La Liga (Espanha),Barcelona,2-0,Vitória
2017,10,18,1 Gol(s) / 1 Assist.,0,0,Olympiacos,Champions League,Barcelona,3-1,Vitória
2017,10,14,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
2017,10,10,3 Gol(s),0,0,Equador,Eliminatórias da Copa do Mundo,Argentina,1-3,Vitória
2017,10,05,Nenhuma,0,0,Peru,Eliminatórias da Copa do Mundo,Argentina,0-0,Empate
2017,10,01,2 Gol(s) / 1 Assist.,0,0,Las Palmas,La Liga (Espanha),Barcelona,3-0,Vitória
2017,09,27,Nenhuma,0,0,Sporting,Champions League,Barcelona,0-1,Vitória
2017,09,23,Nenhuma,0,0,Girona,La Liga (Espanha),Barcelona,0-3,Vitória
2017,09,19,4 Gol(s),0,0,Eibar,La Liga (Espanha),Barcelona,6-1,Vitória
2017,09,16,1 Assist.,0,0,Getafe,La Liga (Espanha),Barcelona,1-2,Vitória
2017,09,12,2 Gol(s),1,0,Juventus,Champions League,Barcelona,3-0,Vitória
