AnoMes,QtdePixcontestados,Qtdecontestacoesaceitas,Qtdecontestacoesrejeitadas,Qtdecontestacoesaceitasacada100mil,QtdeUsuarioscommarcacoesdefraude,QtdeChavesPixcommarcacoesdefraude,ValorPixcontestadosaceitos,QuantidadedevolvidaintegralmentepormeiodoMED,ValorPixdevolvidosintegralmente,QuantidadedevolvidaparcialmentepormeiodoMED,ValorPixdevolvidosparcialmente,ValorPixresidualnaodevolvido,Quantidadedenaodevolvidossaldoinsuficiente,ValorPixnaodevolvidossaldoinsuficiente,Quantidadedenaodevolvidoscontaencerrada,Valornaodevolvidoscontaencerrada,Quantidadedenaodevolvidosmotivosdiversos,ValorPixnaodevolvidosmotivosdiversos,PercentualdeDevolucao,QtdePixbloqueadoscautelarmenteeliberados,ValorPixbloqueadoscautelarmenteeliberados,QtdePixbloqueadoscautelarmenteedevolvidos,ValorPixbloqueadoscautelarmenteedevolvidos
202507,1328154,325964,1002190,"5,436",106556,117290,"698567958,55",57483,"40390951,92",68581,"28921543,8","217386184,23",176414,"345866606,42",6961,"12980548,19",16525,"53022123,99","9,92",1674847,"1950942151,81",104320,"69748263,41"
202408,1146714,517945,628769,"10,339",97310,110058,"841974882,49",100373,"51360171,91",56247,"31849133,76","192186129,24",325692,"462457847,94",19518,"28952813,32",16115,"75168786,32","9,88",1123852,"1782124682,87",183984,"75042406,83"
202410,1263001,494693,768308,"9,707",103544,116646,"628580488,77",122794,"39915806,85",62535,"15032820,27","149179295,99",286993,"387500452,18",8646,"7460872,65",13725,"29491240,83","8,74",1378029,"1838605645,42",166090,"110695319,13"
202405,841713,346371,495342,"7,496",78907,87474,"537340807,52",51410,"29102491,12",41749,"18368850,46","109807160,53",225187,"315625731,48",7460,"9979213,15",20565,"54457360,78","8,83",1073109,"4119718259,69",70283,"111371844,17"
202512,3771745,322572,3449173,"4,544",105351,110992,"573967287,13",52810,"36947433,07",66980,"18153398,18","177895470,07",183239,"303017282,66",8235,"8299089,51",11308,"29654613,64","9,6",530773,"3082295953,9",354882,"80826967,84"
202209,196377,137732,58645,"7,167",40917,44961,"220824321,9",14856,"12832651,52",27792,"6476548,2","59960422,07",83452,"118977967,78",3758,"5635763,97",7874,"16940968,36","8,74",764838,"2416123454,85",17978,"19775721,36"
202309,416668,220850,195818,"6,59",56997,63607,"387570986,82",25922,"21169202,08",40416,"10444199,77","98169551,08",138909,"233421387,01",6924,"8601110,1",8679,"15765536,78","8,16",809754,"2982357094,08",16913,"18374840,38"
202503,1237575,347158,890417,"6,239",100046,108751,"564204191,36",79559,"18537945,4",61426,"10213257,41","193182277,44",185539,"308229638,62",4934,"5573613,15",15700,"28467459,34","5,1",1323202,"2486389426,35",142680,"78883122,82"
202202,78638,60682,17956,"5,22",23999,25899,"136036838,58",5301,"5355273,06",12711,"2792891,45","36514484,01",33079,"64184561,85",6190,"17471344,77",3401,"9718283,44","5,99",35082,"29383993,38",19507,11319480
202508,1233723,285358,948365,"4,573",99230,108656,"727685237,95",48047,"61592739,4",66566,"26471219,01","237920921,01",154402,"311772440,54",5964,"13935492,94",10379,"75992425,05","12,1",609171,"1428395887,3",573308,"184257268,52"
202509,1243189,298719,944470,"4,87",95221,103771,"610624937,92",47400,"34551758,07",61891,"16474049,88","198288950,33",168613,"317603768,2",6140,"9160789,52",14675,"34545621,92","8,36",457831,"1618157239,94",134504,"70257353,52"
202207,186056,142493,43563,"8,143",38750,42608,"213715054,18",14196,"9793327,15",25003,"4361098,23","53735560,12",67988,"110122475,65",27813,"19687049,22",7493,"16015543,81","6,62",34405,"37857432,76",18602,"17093850,35"
202401,795617,346694,448923,"9,004",72753,80304,"474119743,07",88863,"27264848,79",43479,"12637741,47","103901589,49",198643,"298215764,79",2397,"3884895,11",13312,"28214903,42","8,42",962419,"3453892895,09",59130,"40638076,69"
202601,3181303,279078,2902225,"4,385",92648,98728,"723417812,2",43627,"66102168,75",56329,"45312310,84","189847616,39",154929,"355992977,79",9400,"12358751,79",14793,"53803986,64","15,4",457528,"1938631701,09",302819,"92837232,68"
202205,229403,149007,80396,"9,46",35467,39314,"224863332,69",12682,8179939,21155,"4156913,48","48022136,81",60417,"95495730,17",43379,"47191483,62",11374,"21817129,61","5,49",27002,"29038731,29",15715,"13576390,05"
202404,780244,330889,449355,"7,615",72079,80447,"451714093,76",61539,"23131456,96",41573,"10640500,7",91699013,207255,"282777752,33",4978,"10107212,72",15544,"33358158,05","7,48",1087652,"4310520474,61",32729,"55170664,3"
202402,684125,286689,397436,"7,452",66268,73077,"420843695,16",54685,"20329838,97",38379,"10869219,34","85507804,49",182946,"280826402,92",2464,"3313131,14",8223,"19997298,3","7,41",872943,"3420815999,64",38597,"31522531,67"
202502,1101796,352632,749164,"7,073",93869,102336,"661779550,52",89041,"20716252,27",57855,"12267767,4","211202155,79",186081,"377452359,27",4913,5987572,14742,"34153443,79","4,98",1105557,"2319125350,73",171470,"137670045,73"
202310,477919,244355,233564,"6,874",58189,64848,"455757260,95",31368,"25894059,47",42909,"15502652,05","103177254,27",156848,"284472098,84",4420,"6760640,81",8810,"19950555,51","9,08",856152,"3268296893,56",18276,"24114675,31"
202510,3455984,367871,3088113,"5,701",130714,138551,"769498524,8",64155,"45100692,32",77226,"25520597,86","231039581,3",202695,"406213689,89",8918,"8753124,76",14877,"52870838,67","9,18",1211584,"2557165061,26",498353,"129532059,74"
202305,371823,261417,110406,"9,475",59523,68866,"421946778,04",23616,"29141561,1",48335,"10030452,15","105307394,76",163336,"235659270,02",5521,"6227236,58",20609,"35580863,43","9,28",848336,"2270163258,59",27916,"25564788,55"
202412,1356969,384508,972461,"6,734",109514,122719,"541247831,86",50368,"27761889,91",61260,"15069728,71","133466485,46",245861,"315827833,46",9374,"9441823,49",17645,"39680070,83","7,91",1819851,"3048110825,94",153870,"71745569,44"
202201,71509,57778,13731,"5,284",22516,24820,"122560468,28",5673,"4261762,1",12396,"2227049,21","30642980,34",30680,"62079774,01",5074,"15573593,85",3955,"7775308,77","5,29",35045,"24780856,85",20904,"10049037,94"
202505,1361184,308968,1052216,"5,21",98980,107112,"485913503,11",48643,"38849444,74",62197,"15702899,35","138655361,69",183184,"264415773,57",5622,"9604485,28",9322,"18685538,48","11,23",2142208,"2001599258,22",146675,"116539975,55"
202501,1343376,369832,973544,"7,309",102517,113884,"543393440,57",80327,"28834067,69",62689,"37215404,64","143464016,22",204396,"301266020,95",6762,"7171720,92",15658,"25442210,15","12,15",1782209,"2736819505,45",155642,"69017998,47"
202308,417673,232593,185080,"7,095",62889,70690,"410383099,54",19877,"21458142,76",45482,"11059998,24",103117215,146737,"241494191,57",9327,"11167749,01",11170,"22085802,96","7,92",822115,"2881497983,35",22109,"25699809,96"
