Gênero do indiciado,Hora,Data,Idade do indiciado
Masculino,09:30:00,02/01/2017,22
Masculino,09:30:00,02/01/2017,21
Masculino,20:20:00,03/01/2017,28
Masculino,08:00:00,05/01/2017,29
Masculino,21:00:00,15/01/2017,20
Masculino,21:00:00,15/01/2017,21
Masculino,11:00:00,19/01/2017,22
Masculino,11:00:00,19/01/2017,19
Masculino,16:30:00,20/01/2017,20
Masculino,16:30:00,20/01/2017,20
Masculino,13:40:00,01/02/2017,Não Informado
Masculino,20:30:00,02/02/2017,19
Masculino,20:30:00,02/02/2017,19
Masculino,12:40:00,09/02/2017,25
Masculino,10:50:00,11/02/2017,21
Masculino,17:40:00,15/02/2017,19
Masculino,11:30:00,18/02/2017,31
Masculino,23:10:00,21/02/2017,32
Masculino,23:10:00,21/02/2017,32
Masculino,03:00:00,23/02/2017,24
Masculino,12:30:00,26/02/2017,35
Feminino,12:30:00,26/02/2017,30
Masculino,12:30:00,26/02/2017,23
Masculino,21:50:00,28/02/2017,26
Masculino,23:47:00,02/03/2017,24
Masculino,19:30:00,27/06/2017,22
Masculino,19:30:00,27/06/2017,18
Masculino,19:30:00,27/06/2017,24
Masculino,22:30:00,01/09/2017,18
Feminino,22:30:00,01/09/2017,27
Masculino,11:00:00,05/10/2017,25
Masculino,12:40:00,31/01/2018,26
Feminino,12:40:00,31/01/2018,19
Masculino,21:40:00,20/02/2018,24
Masculino,14:00:00,03/05/2018,46
Feminino,18:00:00,12/06/2018,28
Masculino,10:30:00,29/06/2018,22
Masculino,10:30:00,29/06/2018,23
Masculino,11:00:00,16/08/2018,43
Masculino,11:00:00,16/08/2018,19
Masculino,04:30:00,19/08/2018,19
Masculino,04:30:00,19/08/2018,35
Masculino,22:45:00,18/09/2018,18
Masculino,19:25:00,01/10/2018,33
Masculino,10:15:00,10/10/2018,18
Masculino,10:15:00,10/10/2018,31
Masculino,10:15:00,10/10/2018,21
Masculino,08:00:00,15/10/2018,23
Masculino,08:00:00,15/10/2018,20
Masculino,06:00:00,16/10/2018,26
Masculino,13:15:00,23/11/2018,22
Feminino,13:15:00,23/11/2018,39
Masculino,20:40:00,30/11/2018,24
Masculino,17:30:00,03/12/2018,31
Masculino,21:20:00,13/12/2018,27
Masculino,21:00:00,15/12/2018,Não Informado
Masculino,20:05:00,05/01/2019,34
Masculino,22:00:00,13/01/2019,30
Masculino,21:50:00,20/01/2019,18
Masculino,21:50:00,20/01/2019,19
Masculino,17:45:00,24/01/2019,35
Masculino,16:30:00,30/01/2019,27
Masculino,12:00:00,10/02/2019,29
Masculino,21:25:00,10/02/2019,18
