Local da ocorrência,Município,Data da Restituição
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
NAO INFORMADO,Fortaleza,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
NAO INFORMADO,Fortaleza,06/03/2017
CASA COMERCIAL,Fortaleza,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
VIA PUBLICA,Guaiúba,07/03/2017
NAO INFORMADO,Fortaleza,07/03/2017
VIA PUBLICA,Maracanaú,07/03/2017
NAO INFORMADO,Fortaleza,07/03/2017
RESIDENCIA PARTICULAR,Frecheirinha,07/03/2017
VIA PUBLICA,Aquiraz,08/03/2017
VIA PUBLICA,Aquiraz,08/03/2017
VIA PUBLICA,Fortaleza,08/03/2017
NAO INFORMADO,Fortaleza,08/03/2017
VIA PUBLICA,Maranguape,09/03/2017
VIA PUBLICA,Fortaleza,09/03/2017
NAO INFORMADO,Fortaleza,09/03/2017
VIA PUBLICA,Frecheirinha,09/03/2017
VIA PUBLICA,Maracanaú,09/03/2017
VIA PUBLICA,Maracanaú,09/03/2017
VIA PUBLICA,Eusébio,09/03/2017
PRACA,Fortaleza,09/03/2017
VIA PUBLICA,Farias Brito,09/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
VIA PUBLICA,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,10/03/2017
VIA PUBLICA,Crato,10/03/2017
CASA COMERCIAL,Crato,11/03/2017
VIA PUBLICA,Fortaleza,11/03/2017
VIA PUBLICA,Eusébio,12/03/2017
VIA PUBLICA,Fortaleza,12/03/2017
VIA PUBLICA,Fortaleza,12/03/2017
VIA PUBLICA,Eusébio,12/03/2017
RESIDENCIA PARTICULAR,Iguatu,12/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Caucaia,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Paraipaba,13/03/2017
VIA PUBLICA,Aracati,13/03/2017
CASA COMERCIAL,Eusébio,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Maracanaú,14/03/2017
VIA PUBLICA,Fortaleza,14/03/2017
VIA PUBLICA,Eusébio,14/03/2017
