Data;Município;Gênero da Vítima;Idade da Vítima
01/01/2021;Ipu;Masculino;68
02/01/2021;Paraipaba;Feminino;37
03/01/2021;Independência;Feminino;15
03/01/2021;Independência;Feminino;15
07/01/2021;Tianguá;Feminino;52
10/01/2021;Fortaleza;Feminino;40
23/01/2021;Fortaleza;Feminino;23
29/01/2021;Fortaleza;Masculino;29
02/02/2021;Itapipoca;Feminino;15
01/03/2021;Fortaleza;Masculino;72
04/03/2021;Fortaleza;Feminino;33
05/03/2021;Caucaia;Feminino;34
11/03/2021;Jaguaribara;Feminino;30
14/03/2021;Quixadá;Feminino;49
15/03/2021;Sobral;Feminino;25
16/03/2021;Fortaleza;Feminino;25
23/03/2021;Senador Pompeu;Feminino;27
24/03/2021;Fortaleza;Masculino;60
25/03/2021;Crato;Feminino;22
27/03/2021;Fortaleza;Feminino;23
30/03/2021;Jaguaribe;Feminino;53
01/04/2021;Fortaleza;Feminino;36
01/04/2021;Fortaleza;Feminino;22
01/04/2021;Fortaleza;Feminino;56
01/04/2021;Fortaleza;Feminino;49
04/04/2021;Fortaleza;Feminino;40
04/04/2021;Fortaleza;Feminino;56
04/04/2021;Mauriti;Masculino;29
04/04/2021;Mauriti;Feminino;24
05/04/2021;Missão Velha;Feminino;15
06/04/2021;Frecheirinha;Masculino;29
07/04/2021;Aquiraz;Feminino;38
07/04/2021;Aquiraz;Feminino;38
08/04/2021;Caucaia;Feminino;45
08/04/2021;Caucaia;Feminino;18
09/04/2021;Fortaleza;Feminino;56
10/04/2021;Fortaleza;Feminino;37
11/04/2021;Itapipoca;Feminino;49
12/04/2021;Fortaleza;Feminino;29
14/04/2021;Fortaleza;Feminino;40
14/04/2021;Fortaleza;Feminino;25
14/04/2021;Fortaleza;Feminino;42
14/04/2021;Fortaleza;Feminino;67
14/04/2021;Fortaleza;Não identificado;Não Informada
15/04/2021;São Benedito;Não identificado;Não Informada
15/04/2021;Sobral;Masculino;41
15/04/2021;Juazeiro do Norte;Feminino;39
15/04/2021;Maracanaú;Masculino;67
16/04/2021;Tianguá;Feminino;26
17/04/2021;Fortaleza;Feminino;31
18/04/2021;Fortaleza;Feminino;25
18/04/2021;Fortaleza;Feminino;39
20/04/2021;Jaguaribara;Feminino;37
20/04/2021;Jaguaribara;Feminino;24
20/04/2021;Jaguaribara;Feminino;32
20/04/2021;Jaguaribara;Feminino;26
20/04/2021;Jaguaribara;Feminino;37
21/04/2021;Fortaleza;Feminino;67
21/04/2021;Jaguaribe;Masculino;51
21/04/2021;Jaguaribe;Feminino;28
21/04/2021;Itapipoca;Feminino;43
22/04/2021;Tianguá;Feminino;33
22/04/2021;Fortaleza;Feminino;56
23/04/2021;Fortaleza;Feminino;52
24/04/2021;Fortaleza;Feminino;25
26/04/2021;Fortaleza;Feminino;25
26/04/2021;Fortaleza;Feminino;19
27/04/2021;Paramoti;Feminino;25
27/04/2021;Fortaleza;Feminino;35
28/04/2021;Fortaleza;Feminino;28
28/04/2021;Viçosa do Ceará;Masculino;19
28/04/2021;Viçosa do Ceará;Feminino;39
30/04/2021;Fortaleza;Feminino;47
01/05/2021;Palhano;Feminino;43
01/05/2021;São Benedito;Feminino;29
01/05/2021;São Benedito;Feminino;51
01/05/2021;Fortaleza;Feminino;52
03/05/2021;Fortaleza;Feminino;25
03/05/2021;Tianguá;Feminino;21
04/05/2021;Fortaleza;Feminino;57
05/05/2021;Uruoca;Feminino;33
06/05/2021;Jijoca de Jericoacoara;Feminino;43
07/05/2021;Milhã;Feminino;37
08/05/2021;Jaguaribe;Feminino;33
09/05/2021;Crateús;Feminino;34
09/05/2021;Juazeiro do Norte;Feminino;44
09/05/2021;Fortaleza;Feminino;26
09/05/2021;Caucaia;Feminino;40
09/05/2021;Assaré;Feminino;46
11/05/2021;Fortaleza;Feminino;34
11/05/2021;Frecheirinha;Feminino;44
12/05/2021;Baturité;Não identificado;Não Informada
13/05/2021;Mauriti;Feminino;33
