AIS;DATA;HORA;MUNICÍPIO;VÍTIMA GÊNERO;VÍTIMA IDADE
AIS 25;2009-01-01;01:30:00;Itaitinga;Feminino;13
AIS 11;2009-01-02;12:13:09;Caucaia;Feminino;13
AIS 10;2009-01-02;22:00:00;Fortaleza;Feminino;9
AIS 02;2009-01-04;00:15:00;Fortaleza;Feminino;17
AIS 02;2009-01-04;00:15:00;Fortaleza;Feminino;16
AIS 02;2009-01-04;00:15:00;Fortaleza;Feminino;15
AIS 02;2009-01-04;00:15:00;Fortaleza;Feminino;15
AIS 02;2009-01-04;00:15:28;Fortaleza;Feminino;14
AIS 21;2009-01-04;14:30:00;Iguatu;Feminino;12
AIS 14;2009-01-04;17:30:00;Sobral;Feminino;12
AIS Não Identificada (Fortaleza);2009-01-05;10:08:38;Fortaleza;Feminino;5
AIS Não Identificada (Fortaleza);2009-01-05;10:08:38;Fortaleza;Feminino;2
AIS 24;2009-01-05;12:48:27;Maranguape;Feminino;16
AIS 11;2009-01-05;16:00:00;Caucaia;Feminino;13
AIS 03;2009-01-06;14:04:35;Fortaleza;Feminino;12
AIS 18;2009-01-07;11:00:00;Russas;Feminino;13
AIS 14;2009-01-07;15:35:20;Sobral;Feminino;10
AIS 06;2009-01-07;17:29:44;Fortaleza;Masculino;13
AIS 09;2009-01-08;17:22:35;Fortaleza;Feminino;8
AIS 10;2009-01-08;21:30:04;Fortaleza;Feminino;14
AIS 19;2009-01-09;07:00:00;Farias Brito;Feminino;15
AIS 19;2009-01-09;07:00:00;Farias Brito;Feminino;12
AIS 19;2009-01-09;07:00:00;Farias Brito;Feminino;11
AIS 06;2009-01-09;16:00:00;Fortaleza;Feminino;12
AIS 12;2009-01-10;10:00:35;Maracanaú;Feminino;13
AIS 25;2009-01-10;11:00:04;Horizonte;Feminino;6
AIS 02;2009-01-11;20:00:00;Fortaleza;Feminino;13
AIS 24;2009-01-12;08:30:32;Maranguape;Feminino;13
AIS 02;2009-01-12;10:00:00;Fortaleza;Feminino;13
AIS 02;2009-01-12;14:00:00;Fortaleza;Feminino;11
AIS 06;2009-01-14;10:55:20;Fortaleza;Feminino;17
AIS 10;2009-01-14;14:00:00;Fortaleza;Feminino;11
AIS 02;2009-01-14;15:00:00;Fortaleza;Feminino;17
AIS 14;2009-01-16;10:15:12;Sobral;Feminino;12
AIS 14;2009-01-16;10:15:12;Sobral;Feminino;8
AIS 17;2009-01-16;17:52:56;Morrinhos;Feminino;12
AIS 03;2009-01-16;21:30:00;Fortaleza;Feminino;13
AIS 19;2009-01-20;10:00:54;Caririaçu;Feminino;11
AIS 11;2009-01-21;09:00:08;Caucaia;Feminino;4
AIS 02;2009-01-22;11:01:22;Fortaleza;Feminino;2
AIS 06;2009-01-22;14:00:00;Fortaleza;Feminino;10
AIS 19;2009-01-22;15:29:59;Nova Olinda;Feminino;13
AIS 13;2009-01-25;16:00:31;Aquiraz;Feminino;15
AIS 13;2009-01-25;16:00:31;Aquiraz;Feminino;12
AIS 13;2009-01-26;16:00:36;Aquiraz;Feminino;14
AIS 03;2009-01-29;11:30:00;Fortaleza;Feminino;14
AIS 01;2009-01-29;17:08:59;Fortaleza;Masculino;12
AIS 14;2009-01-29;21:00:42;Sobral;Feminino;14
AIS 15;2009-01-30;20:39:40;Canindé;Masculino;15
AIS 23;2009-02-02;09:00:26;São Gonçalo do Amarante;Feminino;9
AIS 21;2009-02-02;09:00:49;Quixelô;Feminino;13
AIS 09;2009-02-02;12:15:07;Fortaleza;Feminino;4
AIS 11;2009-02-03;08:30:50;Caucaia;Feminino;13
AIS 07;2009-02-04;15:33:28;Fortaleza;Feminino;15
AIS 24;2009-02-08;12:00:00;Maranguape;Feminino;13
AIS 10;2009-02-09;14:40:03;Fortaleza;Feminino;15
AIS 10;2009-02-09;15:03:41;Fortaleza;Feminino;11
AIS 02;2009-02-12;14:30:00;Fortaleza;Feminino;3
AIS 09;2009-02-12;15:42:00;Fortaleza;Feminino;12
AIS 14;2009-02-15;15:00:00;Mucambo;Feminino;13
AIS 06;2009-02-17;13:33:56;Fortaleza;Feminino;13
AIS 23;2009-02-18;15:00:22;São Gonçalo do Amarante;Feminino;13
AIS 15;2009-02-20;12:27:56;Canindé;Masculino;14
AIS 03;2009-02-20;16:54:19;Fortaleza;Feminino;16
AIS 17;2009-02-22;23:00:00;Amontada;Feminino;11
AIS 13;2009-02-24;16:00:00;Eusébio;Feminino;10
AIS 02;2009-02-27;10:58:08;Fortaleza;Feminino;14
AIS 02;2009-02-27;10:58:08;Fortaleza;Feminino;13
AIS 04;2009-02-28;22:00:00;Fortaleza;Feminino;14
AIS 11;2009-03-01;17:00:40;Caucaia;Feminino;13
AIS 17;2009-03-02;18:30:47;Acaraú;Feminino;14
AIS 14;2009-03-08;17:30:30;Sobral;Feminino;14
AIS 24;2009-03-10;12:00:00;Maranguape;Feminino;3
AIS 19;2009-03-11;10:00:00;Juazeiro do Norte;Feminino;12
AIS 14;2009-03-11;17:30:08;Sobral;Feminino;7
AIS 12;2009-03-12;13:31:23;Maracanaú;Feminino;12
AIS 14;2009-03-16;13:00:25;Sobral;Feminino;4
AIS 11;2009-03-17;10:53:57;Caucaia;Feminino;12
AIS 03;2009-03-18;09:20:21;Fortaleza;Feminino;14
AIS 14;2009-03-18;19:00:02;Coreaú;Feminino;11
AIS 06;2009-03-18;20:00:00;Fortaleza;Masculino;3
AIS 14;2009-03-19;01:30:00;Guaraciaba do Norte;Feminino;16
AIS 06;2009-03-20;10:52:58;Fortaleza;Feminino;10
AIS 10;2009-03-21;11:13:37;Fortaleza;Feminino;10
AIS 02;2009-03-23;10:00:00;Fortaleza;Feminino;11
AIS 12;2009-03-23;12:00:44;Maracanaú;Feminino;15
AIS 06;2009-03-25;09:43:48;Fortaleza;Feminino;14
AIS 21;2009-03-25;12:30:00;Jucás;Masculino;9
AIS 14;2009-03-25;14:53:21;Moraújo;Feminino;12
AIS 25;2009-03-27;13:00:00;Horizonte;Feminino;14
AIS 11;2009-03-28;09:16:19;Caucaia;Feminino;12
AIS 12;2009-03-29;19:00:40;Maracanaú;Feminino;12
AIS 13;2009-03-30;00:00:00;Cascavel;Feminino;15
AIS 03;2009-03-30;14:15:20;Fortaleza;Feminino;14
AIS 02;2009-03-30;15:44:35;Fortaleza;Feminino;11
AIS 21;2009-03-31;08:04:35;Iguatu;Feminino;14
AIS 08;2009-04-03;12:30:00;Fortaleza;Feminino;1
AIS 11;2009-04-04;07:00:34;Caucaia;Feminino;11
AIS 08;2009-04-08;14:50:44;Fortaleza;Feminino;13
AIS 11;2009-04-08;18:30:02;Caucaia;Feminino;13
AIS 21;2009-04-09;19:00:48;Iguatu;Feminino;12
AIS 08;2009-04-10;01:00:00;Fortaleza;Feminino;12
AIS 21;2009-04-11;10:00:00;Icó;Feminino;9
AIS 06;2009-04-12;19:00:00;Fortaleza;Feminino;10
AIS 14;2009-04-13;10:34:29;Sobral;Feminino;13
AIS 03;2009-04-13;16:00:00;Fortaleza;Feminino;12
AIS 24;2009-04-14;18:00:00;Maranguape;Feminino;12
AIS 02;2009-04-16;21:30:00;Fortaleza;Feminino;16
AIS 10;2009-04-17;13:00:59;Fortaleza;Feminino;14
AIS 04;2009-04-18;19:00:00;Fortaleza;Feminino;15
AIS 19;2009-04-19;17:00:00;Juazeiro do Norte;Feminino;12
AIS 12;2009-04-20;07:30:00;Maracanaú;Feminino;1
AIS 11;2009-04-20;14:20:00;Caucaia;Feminino;13
AIS 11;2009-04-20;14:20:00;Caucaia;Feminino;12
AIS 06;2009-04-20;15:46:02;Fortaleza;Feminino;13
AIS 06;2009-04-22;12:47:37;Fortaleza;Feminino;11
AIS 06;2009-04-22;17:12:50;Fortaleza;Feminino;13
AIS 07;2009-04-23;08:32:48;Fortaleza;Feminino;10
AIS 09;2009-04-23;16:00:00;Fortaleza;Masculino;7
AIS 05;2009-04-23;17:30:33;Fortaleza;Feminino;11
AIS 05;2009-04-24;01:00:13;Fortaleza;Feminino;16
AIS 24;2009-04-24;18:00:32;Maranguape;Feminino;13
AIS 09;2009-04-25;22:00:04;Fortaleza;Feminino;12
AIS 09;2009-04-25;22:00:04;Fortaleza;Feminino;8
AIS 09;2009-04-26;23:15:00;Fortaleza;Feminino;12
AIS 04;2009-04-28;09:25:41;Fortaleza;Feminino;8
AIS 07;2009-04-28;16:44:18;Fortaleza;Feminino;10
AIS 07;2009-04-28;16:44:18;Fortaleza;Feminino;9
AIS 15;2009-04-29;12:00:06;Itatira;Feminino;13
AIS 09;2009-04-30;22:00:00;Fortaleza;Feminino;5
AIS 09;2009-05-01;02:00:00;Fortaleza;Feminino;10
AIS 12;2009-05-01;02:11:50;Maracanaú;Feminino;13
AIS 12;2009-05-01;19:00:00;Maracanaú;Feminino;14
AIS 12;2009-05-01;19:00:00;Maracanaú;Feminino;11
AIS 09;2009-05-04;14:00:14;Fortaleza;Feminino;11
AIS 18;2009-05-06;11:00:00;Palhano;Feminino;4
